indicator_code,category_id,category_code,category_name,category_source_code,category_source_name
COB.1.01,1,faixa_etaria_detalhada:1_a_4_anos,Faixa etária detalhada: 1 a 4 anos,NA,NA
COB.1.01,2,faixa_etaria_detalhada:10_a_14_anos,Faixa etária detalhada: 10 a 14 anos,NA,NA
COB.1.01,3,faixa_etaria_detalhada:15_a_19_anos,Faixa etária detalhada: 15 a 19 anos,NA,NA
COB.1.01,4,faixa_etaria_detalhada:20_a_29_anos,Faixa etária detalhada: 20 a 29 anos,NA,NA
COB.1.01,5,faixa_etaria_detalhada:30_a_39_anos,Faixa etária detalhada: 30 a 39 anos,NA,NA
COB.1.01,6,faixa_etaria_detalhada:40_a_49_anos,Faixa etária detalhada: 40 a 49 anos,NA,NA
COB.1.01,7,faixa_etaria_detalhada:5_a_9_anos,Faixa etária detalhada: 5 a 9 anos,NA,NA
COB.1.01,8,faixa_etaria_detalhada:50_a_59_anos,Faixa etária detalhada: 50 a 59 anos,NA,NA
COB.1.01,9,faixa_etaria_detalhada:60_a_69_anos,Faixa etária detalhada: 60 a 69 anos,NA,NA
COB.1.01,10,faixa_etaria_detalhada:70_a_79_anos,Faixa etária detalhada: 70 a 79 anos,NA,NA
COB.1.01,11,faixa_etaria_detalhada:80_anos_ou_mais,Faixa etária detalhada: 80 anos ou mais,NA,NA
COB.1.01,12,faixa_etaria_detalhada:menor_de_1_ano,Faixa etária detalhada: Menor de 1 ano,NA,NA
COB.1.01,13,faixa_etaria:0_a_9_anos,Faixa etária: 0 a 9 anos,NA,NA
COB.1.01,14,faixa_etaria:10_a_19_anos,Faixa etária: 10 a 19 anos,NA,NA
COB.1.01,15,faixa_etaria:20_a_49_anos,Faixa etária: 20 a 49 anos,NA,NA
COB.1.01,16,faixa_etaria:50_a_59_anos,Faixa etária: 50 a 59 anos,NA,NA
COB.1.01,17,faixa_etaria:60_anos_ou_mais,Faixa etária: 60 anos ou mais,NA,NA
COB.1.01,18,sexo:feminino,Sexo: Feminino,NA,NA
COB.1.01,19,sexo:masculino,Sexo: Masculino,NA,NA
COB.1.01,20,total,Total,NA,NA
COB.1.02,1,especialidade:demais_especialidades,Especialidade: Demais especialidades,NA,NA
COB.1.02,2,especialidade:medico_cardiologista,Especialidade: Médico cardiologista,NA,NA
COB.1.02,3,especialidade:medico_cirurgiao_geral,Especialidade: Médico cirurgião geral,NA,NA
COB.1.02,4,especialidade:medico_clinico,Especialidade: Médico clínico,NA,NA
COB.1.02,5,especialidade:medico_dermatologista,Especialidade: Médico dermatologista,NA,NA
COB.1.02,6,especialidade:medico_endocrinologista_e_metabologista,Especialidade: Médico endocrinologista e metabologista,NA,NA
COB.1.02,7,especialidade:medico_gastroenterologista,Especialidade: Médico gastroenterologista,NA,NA
COB.1.02,8,especialidade:medico_geriatra,Especialidade: Médico geriatra,NA,NA
COB.1.02,9,especialidade:medico_ginecologista_e_obstetra,Especialidade: Médico ginecologista e obstetra,NA,NA
COB.1.02,10,especialidade:medico_infectologista,Especialidade: Médico infectologista,NA,NA
COB.1.02,11,especialidade:medico_nefrologista,Especialidade: Médico nefrologista,NA,NA
COB.1.02,12,especialidade:medico_neurologista,Especialidade: Médico neurologista,NA,NA
COB.1.02,13,especialidade:medico_oftalmologista,Especialidade: Médico oftalmologista,NA,NA
COB.1.02,14,especialidade:medico_oncologista_clinico,Especialidade: Médico oncologista clínico,NA,NA
COB.1.02,15,especialidade:medico_ortopedista_e_traumatologista,Especialidade: Médico ortopedista e traumatologista,NA,NA
COB.1.02,16,especialidade:medico_otorrinolaringologista,Especialidade: Médico otorrinolaringologista,NA,NA
COB.1.02,17,especialidade:medico_pediatra,Especialidade: Médico pediatra,NA,NA
COB.1.02,18,especialidade:medico_psiquiatra,Especialidade: Médico psiquiatra,NA,NA
COB.1.02,19,especialidade:medico_urologista,Especialidade: Médico urologista,NA,NA
COB.1.02,20,total,Total,NA,NA
COB.2.01,1,internacoes,internaçoes,NA,NA
COB.2.01,2,internacoes_cirurgicas,internaçoes cirúrgicas,NA,NA
COB.2.01,3,internacoes_clinicas,internaçoes clínicas,NA,NA
COB.2.01,4,internacoes_obstetricas,internaçoes obstétricas,NA,NA
COB.2.01,5,internacoes_pediatricas,internaçoes pediátricas,NA,NA
COB.2.01,6,outras_especialidades,outras especialidades,NA,NA
COB.2.02,1,internacoes,internaçoes,NA,NA
