id,theme,dimension,name,ckan_package,ckan_resource,ckan_resource_url,download_url,spatial_granularity,time_granularity,time_start,time_end,available_categories,available_category_names
COB.1.01,Cobertura,Dimensão 1,Razão de consultas médicas (SUS) na APS por 100 habitantes,ripsa-cobertura,mgdi_ms_4iu_csv,https://dadosabertos.saude.gov.br/dataset/ripsa-cobertura/resource/mgdi_ms_4iu_csv,https://demas-dados-abertos.s3.amazonaws.com/csv/mgdi_ms_4iu.csv.zip,"municipality, state, region, health_region, macro_region, country",annual,2018-12-01,2024-12-01,"faixa_etaria_detalhada:1_a_4_anos, faixa_etaria_detalhada:10_a_14_anos, faixa_etaria_detalhada:15_a_19_anos, faixa_etaria_detalhada:20_a_29_anos, faixa_etaria_detalhada:30_a_39_anos, faixa_etaria_detalhada:40_a_49_anos, faixa_etaria_detalhada:5_a_9_anos, faixa_etaria_detalhada:50_a_59_anos, faixa_etaria_detalhada:60_a_69_anos, faixa_etaria_detalhada:70_a_79_anos, faixa_etaria_detalhada:80_anos_ou_mais, faixa_etaria_detalhada:menor_de_1_ano, faixa_etaria:0_a_9_anos, faixa_etaria:10_a_19_anos, faixa_etaria:20_a_49_anos, faixa_etaria:50_a_59_anos, faixa_etaria:60_anos_ou_mais, sexo:feminino, sexo:masculino, total",Faixa etária detalhada: 1 a 4 anos | Faixa etária detalhada: 10 a 14 anos | Faixa etária detalhada: 15 a 19 anos | Faixa etária detalhada: 20 a 29 anos | Faixa etária detalhada: 30 a 39 anos | Faixa etária detalhada: 40 a 49 anos | Faixa etária detalhada: 5 a 9 anos | Faixa etária detalhada: 50 a 59 anos | Faixa etária detalhada: 60 a 69 anos | Faixa etária detalhada: 70 a 79 anos | Faixa etária detalhada: 80 anos ou mais | Faixa etária detalhada: Menor de 1 ano | Faixa etária: 0 a 9 anos | Faixa etária: 10 a 19 anos | Faixa etária: 20 a 49 anos | Faixa etária: 50 a 59 anos | Faixa etária: 60 anos ou mais | Sexo: Feminino | Sexo: Masculino | Total
COB.1.02,Cobertura,Dimensão 1,Razão de consultas médicas (SUS) na Atenção Especializada em Saúde por 100 habitantes,ripsa-cobertura,mgdi_ms_0bx_csv,https://dadosabertos.saude.gov.br/dataset/ripsa-cobertura/resource/mgdi_ms_0bx_csv,https://demas-dados-abertos.s3.amazonaws.com/csv/mgdi_ms_0bx.csv.zip,"municipality, state, region, health_region, macro_region, country",annual,2012-12-01,2024-12-01,"especialidade:demais_especialidades, especialidade:medico_cardiologista, especialidade:medico_cirurgiao_geral, especialidade:medico_clinico, especialidade:medico_dermatologista, especialidade:medico_endocrinologista_e_metabologista, especialidade:medico_gastroenterologista, especialidade:medico_geriatra, especialidade:medico_ginecologista_e_obstetra, especialidade:medico_infectologista, especialidade:medico_nefrologista, especialidade:medico_neurologista, especialidade:medico_oftalmologista, especialidade:medico_oncologista_clinico, especialidade:medico_ortopedista_e_traumatologista, especialidade:medico_otorrinolaringologista, especialidade:medico_pediatra, especialidade:medico_psiquiatra, especialidade:medico_urologista, total",Especialidade: Demais especialidades | Especialidade: Médico cardiologista | Especialidade: Médico cirurgião geral | Especialidade: Médico clínico | Especialidade: Médico dermatologista | Especialidade: Médico endocrinologista e metabologista | Especialidade: Médico gastroenterologista | Especialidade: Médico geriatra | Especialidade: Médico ginecologista e obstetra | Especialidade: Médico infectologista | Especialidade: Médico nefrologista | Especialidade: Médico neurologista | Especialidade: Médico oftalmologista | Especialidade: Médico oncologista clínico | Especialidade: Médico ortopedista e traumatologista | Especialidade: Médico otorrinolaringologista | Especialidade: Médico pediatra | Especialidade: Médico psiquiatra | Especialidade: Médico urologista | Total
COB.1.03,Cobertura,Dimensão 1,Razão de consultas médicas (saúde suplementar) por beneficiários de planos privados de saúde,ripsa-cobertura,mgdi_ms_4r8_csv,https://dadosabertos.saude.gov.br/dataset/ripsa-cobertura/resource/mgdi_ms_4r8_csv,https://demas-dados-abertos.s3.amazonaws.com/csv/mgdi_ms_4r8.csv.zip,country,annual,2015-01-01,2024-01-01,NA,NA
COB.2.01,Cobertura,Dimensão 2,Taxa de internações hospitalares (SUS) por 100 habitantes,ripsa-cobertura,ripsa002cb_csv,https://dadosabertos.saude.gov.br/dataset/ripsa-cobertura/resource/ripsa002cb_csv,https://demas-dados-abertos.s3.amazonaws.com/csv/ripsa002cb.csv.zip,municipality,annual,2000-01-01,2024-01-01,"internacoes, internacoes_cirurgicas, internacoes_clinicas, internacoes_obstetricas, internacoes_pediatricas, outras_especialidades",internaçoes | internaçoes cirúrgicas | internaçoes clínicas | internaçoes obstétricas | internaçoes pediátricas | outras especialidades
COB.2.02,Cobertura,Dimensão 2,Taxa de internações hospitalares em planos privados de saúde,ripsa-cobertura,mgdi_ms_95p_csv,https://dadosabertos.saude.gov.br/dataset/ripsa-cobertura/resource/mgdi_ms_95p_csv,https://demas-dados-abertos.s3.amazonaws.com/csv/mgdi_ms_95p.csv.zip,municipality,annual,2015-01-01,2024-01-01,"internacoes, internacoes_cirurgicas, internacoes_clinicas, internacoes_espec_nao_inform, internacoes_obstetricas, internacoes_pediatricas, internacoes_psiquiatricas",internaçoes | internaçoes cirúrgicas | internaçoes clínicas | internaçoes espec.nao inform. | internaçoes obstétricas | internaçoes pediátricas | internaçoes psiquiátricas
COB.4.01,Cobertura,Dimensão 4,Proporção de nascidos vivos segundo o número de consultas de pré-natal,ripsa-cobertura,ripsa003cb_csv,https://dadosabertos.saude.gov.br/dataset/ripsa-cobertura/resource/ripsa003cb_csv,https://demas-dados-abertos.s3.amazonaws.com/csv/ripsa003cb.csv.zip,municipality,annual,2000-01-01,2024-01-01,"nascidos_vivos_com_1_5_consultas, nascidos_vivos_com_1_6_consultas, nascidos_vivos_com_6_ou_mais_consultas, nascidos_vivos_com_7_ou_mais_consultas, nascidos_vivos_de_partos_hospitalares, nascidos_vivos_sem_consultas",Nascidos vivos com 1-5 consultas | Nascidos vivos com 1-6 consultas | Nascidos vivos com 6 ou mais consultas | Nascidos vivos com 7 ou mais consultas | Nascidos vivos de partos hospitalares | Nascidos vivos sem consultas
COB.4.02,Cobertura,Dimensão 4,Proporção de partos hospitalares,ripsa-cobertura,ripsa004cb_csv,https://dadosabertos.saude.gov.br/dataset/ripsa-cobertura/resource/ripsa004cb_csv,https://demas-dados-abertos.s3.amazonaws.com/csv/ripsa004cb.csv.zip,municipality,annual,2000-01-01,2024-01-01,nascidos_vivos_de_partos_hospitalares,Nascidos vivos de partos hospitalares
COB.4.03,Cobertura,Dimensão 4,Proporção de partos cesáreos,ripsa-cobertura,ripsa005cb_csv,https://dadosabertos.saude.gov.br/dataset/ripsa-cobertura/resource/ripsa005cb_csv,https://demas-dados-abertos.s3.amazonaws.com/csv/ripsa005cb.csv.zip,municipality,annual,2000-01-01,2024-01-01,parto_cesareos,Parto cesáreos
COB.5.01,Cobertura,Dimensão 5,Proporção da população coberta por planos privados de assistência à saúde,ripsa-cobertura,ripsa001cb_csv,https://dadosabertos.saude.gov.br/dataset/ripsa-cobertura/resource/ripsa001cb_csv,https://demas-dados-abertos.s3.amazonaws.com/csv/ripsa001cb.csv.zip,"municipality, state, region, health_region, macro_region, country",annual,2012-12-01,2024-12-01,"faixa_etaria:0_a_9_anos, faixa_etaria:10_a_19_anos, faixa_etaria:20_a_49_anos, faixa_etaria:50_a_59_anos, faixa_etaria:60_anos_ou_mais, segmentacao_assistencial_do_plano:ambulatorial, segmentacao_assistencial_do_plano:hospitalar, segmentacao_assistencial_do_plano:hospitalar_e_ambulatorial, sexo:feminino, sexo:masculino, total",Faixa etária: 0 a 9 anos | Faixa etária: 10 a 19 anos | Faixa etária: 20 a 49 anos | Faixa etária: 50 a 59 anos | Faixa etária: 60 anos ou mais | Segmentação assistencial do plano: Ambulatorial | Segmentação assistencial do plano: Hospitalar | Segmentação assistencial do plano: Hospitalar e Ambulatorial | Sexo: Feminino | Sexo: Masculino | Total
DEM.1.01,Demográfico,Dimensão 1,População residente,ripsa-demografico,ripsa014dm_csv,https://dadosabertos.saude.gov.br/dataset/ripsa-demografico/resource/ripsa014dm_csv,https://demas-dados-abertos.s3.amazonaws.com/csv/ripsa014dm.csv.zip,"municipality, state, region, health_region, macro_region, country",annual,2012-12-01,2024-12-01,"idade:01_ano, idade:02_anos, idade:03_anos, idade:04_anos, idade:05_anos, idade:06_anos, idade:07_anos, idade:08_anos, idade:09_anos, idade:10_anos, idade:11_anos, idade:12_anos, idade:13_anos, idade:14_anos, idade:15_anos, idade:16_anos, idade:17_anos, idade:18_anos, idade:19_anos, idade:20_anos, idade:21_anos, idade:22_anos, idade:23_anos, idade:24_anos, idade:25_anos, idade:26_anos, idade:27_anos, idade:28_anos, idade:29_anos, idade:30_anos, idade:31_anos, idade:32_anos, idade:33_anos, idade:34_anos, idade:35_anos, idade:36_anos, idade:37_anos, idade:38_anos, idade:39_anos, idade:40_anos, idade:41_anos, idade:42_anos, idade:43_anos, idade:44_anos, idade:45_anos, idade:46_anos, idade:47_anos, idade:48_anos, idade:49_anos, idade:50_anos, idade:51_anos, idade:52_anos, idade:53_anos, idade:54_anos, idade:55_anos, idade:56_anos, idade:57_anos, idade:58_anos, idade:59_anos, idade:60_anos, idade:61_anos, idade:62_anos, idade:63_anos, idade:64_anos, idade:65_anos, idade:66_anos, idade:67_anos, idade:68_anos, idade:69_anos, idade:70_anos, idade:71_anos, idade:72_anos, idade:73_anos, idade:74_anos, idade:75_anos, idade:76_anos, idade:77_anos, idade:78_anos, idade:79_anos, idade:80_anos_e_mais, idade:menor_de_1_ano, sexo:feminino, sexo:masculino, total",Idade: 01 ano | Idade: 02 anos | Idade: 03 anos | Idade: 04 anos | Idade: 05 anos | Idade: 06 anos | Idade: 07 anos | Idade: 08 anos | Idade: 09 anos | Idade: 10 anos | Idade: 11 anos | Idade: 12 anos | Idade: 13 anos | Idade: 14 anos | Idade: 15 anos | Idade: 16 anos | Idade: 17 anos | Idade: 18 anos | Idade: 19 anos | Idade: 20 anos | Idade: 21 anos | Idade: 22 anos | Idade: 23 anos | Idade: 24 anos | Idade: 25 anos | Idade: 26 anos | Idade: 27 anos | Idade: 28 anos | Idade: 29 anos | Idade: 30 anos | Idade: 31 anos | Idade: 32 anos | Idade: 33 anos | Idade: 34 anos | Idade: 35 anos | Idade: 36 anos | Idade: 37 anos | Idade: 38 anos | Idade: 39 anos | Idade: 40 anos | Idade: 41 anos | Idade: 42 anos | Idade: 43 anos | Idade: 44 anos | Idade: 45 anos | Idade: 46 anos | Idade: 47 anos | Idade: 48 anos | Idade: 49 anos | Idade: 50 anos | Idade: 51 anos | Idade: 52 anos | Idade: 53 anos | Idade: 54 anos | Idade: 55 anos | Idade: 56 anos | Idade: 57 anos | Idade: 58 anos | Idade: 59 anos | Idade: 60 anos | Idade: 61 anos | Idade: 62 anos | Idade: 63 anos | Idade: 64 anos | Idade: 65 anos | Idade: 66 anos | Idade: 67 anos | Idade: 68 anos | Idade: 69 anos | Idade: 70 anos | Idade: 71 anos | Idade: 72 anos | Idade: 73 anos | Idade: 74 anos | Idade: 75 anos | Idade: 76 anos | Idade: 77 anos | Idade: 78 anos | Idade: 79 anos | Idade: 80 anos e mais | Idade: Menor de 1 ano | Sexo: Feminino | Sexo: Masculino | Total
